TIPO_DOCUMENTO|NRO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|SISTEMA|FACTURA_AFECTADA|FECHA_PAGO|MONEDA_FACTURA|SUBTOTAL|IGV|MONTO_PAGADO
Pago|2058314802|CLIENT_00763|236245531|924196067|AMDOCS|S7AA-0067375212|2026-06-05 00:00:00|PEN|17.22|3.78|21.00
Pago|2058178571|CLIENT_00763|236245531|636986067|AMDOCS|S7AA-0067375207|2026-06-05 00:00:00|PEN|17.22|3.78|21.00
Pago|2096976190|CLIENT_00763|236245531|860296067|AMDOCS|S7AA-0067375214|2026-06-05 00:00:00|PEN|17.22|3.78|21.00
Pago|2081482008|CLIENT_00763|236245531|804686067|AMDOCS|S7AA-0067375206|2026-06-05 00:00:00|PEN|17.22|3.78|21.00
Pago|2002473687|CLIENT_00763|236245531|585196067|AMDOCS|S7AA-0067375213|2026-06-05 00:00:00|PEN|17.22|3.78|21.00
Pago|2027095470|CLIENT_00763|236245531|788986067|AMDOCS|S7AA-0067375208|2026-06-05 00:00:00|PEN|17.22|3.78|21.00
Pago|2074355904|CLIENT_00935|203984621|006104647|AMDOCS|S9AA-0080793552|2026-06-05 00:00:00|PEN|17.94|3.94|21.88
Pago|2050372725|CLIENT_00988|615858811|305722857|AMDOCS|S3AA-0077716061|2026-06-05 00:00:00|PEN|97.52|21.41|118.93
Pago|2059931462|CLIENT_00106|195771431|970426857|AMDOCS|S5AA-0080619300|2026-06-05 00:00:00|PEN|143.10|31.41|174.51
Pago|2006444143|CLIENT_00059|72611706|235286506|AMDOCS|S9AA-0082274084|2026-06-18 00:00:00|PEN|73.47|16.13|89.60
Pago|2001156117|CLIENT_00442|72425575|073241401|AMDOCS|S1AA-0052519138|2026-06-26 00:00:00|PEN|3.94|.86|4.80
Pago|2029999038|CLIENT_00063|80290575|421513101|AMDOCS|S1AA-0052403449|2026-07-01 00:00:00|PEN|4.46|.98|5.44
Pago|2065026469|CLIENT_00218|33435575|927408427|AMDOCS|S1AA-0052562085|2026-07-02 00:00:00|PEN|76.66|16.83|93.49
Pago|2059516434|CLIENT_00689|426972121|962197537|AMDOCS|S1AA-0052507864|2026-07-02 00:00:00|PEN|8.56|1.88|10.44
Pago|2011337701|CLIENT_00816|938353231|032636557|AMDOCS|S5AA-0081196196|2026-07-05 00:00:00|PEN|54.24|11.91|66.15
Pago|2025969955|CLIENT_00430|138477221|459982937|AMDOCS|S7AA-0068840616|2026-07-06 00:00:00|PEN|83.69|18.37|102.06
Pago|2056140058|CLIENT_00828|39666216|413053437|AMDOCS|S5AA-0081586672|2026-07-06 00:00:00|PEN|101.08|22.19|123.27
Pago|2029238395|CLIENT_00195|799221901|377408937|AMDOCS|S7AA-0067948097|2026-07-06 00:00:00|PEN|53.78|11.81|65.59
Pago|2096608121|CLIENT_00272|25824575|763551601|AMDOCS|S1AA-0052702848|2026-07-24 00:00:00|PEN|5.87|1.06|6.93
Pago|2035003073|CLIENT_00922|23224575|630266753|AMDOCS|S3AA-0077864215|2026-06-01 00:00:00|PEN|18.31|4.02|22.33
Pago|2023740275|CLIENT_00569|514240531|266739957|AMDOCS|S5AA-0080795921|2026-06-01 00:00:00|PEN|74.56|16.37|90.93
Pago|2029816520|CLIENT_00874|244414621|676462647|AMDOCS|S8AA-0007602046|2026-06-01 00:00:00|PEN|30.36|6.67|37.03
Pago|2098466482|CLIENT_00569|514240531|757049957|AMDOCS|S5AA-0080795922|2026-06-01 00:00:00|PEN|74.56|16.37|90.93
Pago|2008531322|CLIENT_00569|514240531|215849957|AMDOCS|S5AA-0080795923|2026-06-01 00:00:00|PEN|74.56|16.37|90.93
Pago|2051502270|CLIENT_00832|574333621|371131647|AMDOCS|S7AA-0067750218|2026-06-11 00:00:00|PEN|86.04|18.89|104.93
Pago|2031830857|CLIENT_00959|149869031|118805357|AMDOCS|S9AA-0082399432|2026-06-11 00:00:00|PEN|106.08|23.28|129.36
Pago|2090408902|CLIENT_00331|79186895|296968406|AMDOCS|S9AA-0082023250|2026-06-11 00:00:00|PEN|125.94|27.64|153.58
Pago|2071316506|CLIENT_00040|34954575|546690601|AMDOCS|S3AA-0077960420|2026-06-05 00:00:00|PEN|32.66|7.17|39.83
Pago|2076936019|CLIENT_00828|39666216|413053437|AMDOCS|S5AA-0080631698|2026-06-05 00:00:00|PEN|108.89|23.90|132.79
Pago|2029736005|CLIENT_00828|39666216|575621357|AMDOCS|S5AA-0080633239|2026-06-05 00:00:00|PEN|86.04|18.89|104.93
Pago|2026820794|CLIENT_00028|504642321|942433047|AMDOCS|S3AA-0077605332|2026-06-05 00:00:00|PEN|44.71|9.82|54.53
Pago|2071170607|CLIENT_00207|95119385|436783306|AMDOCS|S5AA-0080378300|2026-06-05 00:00:00|PEN|65.95|14.48|80.43
Pago|2087905445|CLIENT_00039|46110895|104211757|AMDOCS|S9AA-0081734630|2026-06-05 00:00:00|PEN|86.04|18.89|104.93
Pago|2078310260|CLIENT_00775|261240031|663722257|AMDOCS|S5AA-0080405158|2026-06-05 00:00:00|PEN|54.19|11.89|66.08
Pago|2027945288|CLIENT_00805|08266575|231360601|AMDOCS|S3AA-0078319650|2026-06-05 00:00:00|PEN|31.51|6.92|38.43
Pago|2012419787|CLIENT_00988|615858811|305722857|AMDOCS|S3AA-0078692786|2026-06-05 00:00:00|PEN|3.15|.69|3.84
Pago|2027489997|CLIENT_00442|91425575|562588501|AMDOCS|S3AA-0078703989|2026-06-06 00:00:00|PEN|.91|.20|1.11
Pago|2032243442|CLIENT_00656|944798511|464331147|AMDOCS|S9AA-0082467101|2026-06-18 00:00:00|PEN|45.86|10.07|55.93
Pago|2035877410|CLIENT_00432|63816575|653770601|AMDOCS|S1AA-0052580388|2026-06-25 00:00:00|PEN|.98|.22|1.20
Pago|2063339709|CLIENT_00486|838010221|686858247|AMDOCS|S1AA-0052596815|2026-06-25 00:00:00|PEN|3.60|.79|4.39
Pago|2093917631|CLIENT_00486|838010221|049034837|AMDOCS|S1AA-0052596467|2026-06-25 00:00:00|PEN|3.76|.83|4.59
Pago|2028955649|CLIENT_00486|838010221|945824757|AMDOCS|S1AA-0052598940|2026-06-25 00:00:00|PEN|3.63|.80|4.43
Pago|2064786199|CLIENT_00357|48525585|651365306|AMDOCS|S5AA-0081518096|2026-07-07 00:00:00|PEN|69.68|15.30|84.98
Pago|2083070874|CLIENT_00459|637638531|603421167|AMDOCS|S6AA-0000070863|2026-07-07 00:00:00|PEN|17.16|3.77|20.93
Pago|2042734334|CLIENT_00488|414931021|517753337|AMDOCS|S9AA-0082628156|2026-07-07 00:00:00|PEN|55.56|12.20|67.76
Pago|2011171530|CLIENT_00052|610439211|548734537|AMDOCS|S5AA-0081027402|2026-07-07 00:00:00|PEN|50.45|11.08|61.53
Pago|2026400121|CLIENT_00052|610439211|479644847|AMDOCS|S5AA-0081028394|2026-07-07 00:00:00|PEN|86.04|18.89|104.93
Pago|2012453412|CLIENT_00293|85194575|733092663|AMDOCS|S1AA-0052737859|2026-07-07 00:00:00|PEN|26.86|5.90|32.76
Pago|2046872718|CLIENT_00052|20246385|096363306|AMDOCS|S9AA-0082540135|2026-07-07 00:00:00|PEN|41.04|9.01|50.05
Pago|2022642503|CLIENT_00537|334038211|859645127|AMDOCS|S1AA-0052562037|2026-07-07 00:00:00|PEN|26.35|5.78|32.13
Pago|2058334645|CLIENT_00540|465713621|203801647|AMDOCS|S9AA-0081733135|2026-06-08 00:00:00|PEN|33.46|7.35|40.81
Pago|2061505168|CLIENT_00879|35089885|129609306|AMDOCS|S5AA-0080334443|2026-06-09 00:00:00|PEN|45.86|10.07|55.93
Pago|2010441811|CLIENT_00839|34610495|721314406|AMDOCS|S9AA-0082411726|2026-06-10 00:00:00|PEN|16.07|3.53|19.60
Pago|2064019811|CLIENT_00806|02261985|628642937|AMDOCS|S9AA-0082216242|2026-06-10 00:00:00|PEN|72.27|15.86|88.13
Pago|2022356488|CLIENT_00445|92763575|382891443|AMDOCS|S7AA-0067331077|2026-06-13 00:00:00|PEN|24.40|5.36|29.75
Pago|2029457874|CLIENT_00615|879575901|179990617|AMDOCS|S9AA-0081851474|2026-06-03 00:00:00|PEN|19.69|4.32|24.01
Pago|2074242971|CLIENT_00479|220136621|618805067|AMDOCS|S3AA-0077775269|2026-06-03 00:00:00|PEN|100.11|21.97|122.08
Pago|2053570348|CLIENT_00998|39598195|941791406|AMDOCS|S5AA-0080628830|2026-06-03 00:00:00|PEN|62.51|13.72|76.23
Pago|2093387336|CLIENT_00580|138337721|340321067|AMDOCS|S3AA-0077862628|2026-06-03 00:00:00|PEN|125.82|27.62|153.44
Pago|1002033932|CLIENT_00092|05551575|781721923|AMDOCS|S3AA-0078038347|2026-06-02 00:00:00|PEN|38.40|8.43|46.83
Pago|2016641872|CLIENT_00659|56917616|167977537|AMDOCS|S9AA-0081341102|2026-06-02 00:00:00|PEN|41.27|9.06|50.33
Pago|2041328688|CLIENT_00299|23295216|010749757|AMDOCS|S5AA-0080177716|2026-06-02 00:00:00|PEN|51.60|11.33|62.93
Pago|2061219681|CLIENT_00327|396418431|232286957|AMDOCS|S7AA-0067012204|2026-06-02 00:00:00|PEN|30.77|6.75|37.52
Pago|2013697319|CLIENT_00507|12872575|854768543|AMDOCS|S3AA-0077757168|2026-06-02 00:00:00|PEN|36.10|7.93|44.03
Pago|2058508119|CLIENT_00507|12872575|654768543|AMDOCS|S3AA-0077757167|2026-06-02 00:00:00|PEN|36.10|7.93|44.03
Pago|2090318936|CLIENT_00333|684991031|824973257|AMDOCS|S3AA-0078393990|2026-06-04 00:00:00|PEN|42.76|9.39|52.15
Pago|2091514048|CLIENT_00099|93455606|848147506|AMDOCS|S5AA-0080232230|2026-06-04 00:00:00|PEN|94.65|20.78|115.43
Pago|2096711703|CLIENT_00428|581765021|956134437|AMDOCS|S9AA-0081913301|2026-06-15 00:00:00|PEN|20.03|4.40|24.43
Pago|2035547940|CLIENT_00428|581765021|189262437|AMDOCS|S9AA-0081913288|2026-06-15 00:00:00|PEN|118.13|25.93|144.06
Pago|2054619703|CLIENT_00442|91425575|562588501|AMDOCS|S3AA-0077727409|2026-06-06 00:00:00|PEN|30.65|6.73|37.38
Pago|2038577653|CLIENT_00409|84576485|211774306|AMDOCS|S9AA-0081189225|2026-06-06 00:00:00|PEN|121.17|26.60|147.77
Pago|2065971015|CLIENT_00157|862543011|165703427|AMDOCS|S5AA-0080447362|2026-06-06 00:00:00|PEN|50.23|11.03|61.25
Pago|2039981438|CLIENT_00052|610439211|548734537|AMDOCS|S5AA-0080800893|2026-06-06 00:00:00|PEN|50.45|11.08|61.53
Pago|2053585542|CLIENT_00846|97022606|136314957|AMDOCS|S5AA-0080531118|2026-06-07 00:00:00|PEN|77.15|16.93|94.08
Pago|2046272983|CLIENT_00072|697710|72065000|ISIS|FFBG-155279|2026-06-18 00:00:00|PEN|134.27|29.47|163.74
Pago|2039793515|CLIENT_00045|609635031|366178257|AMDOCS|S1AA-0051774652|2026-06-18 00:00:00|PEN|17.16|3.77|20.93
Pago|2078066090|CLIENT_00801|319222|89986100|ISIS|FFBG-154717|2026-07-07 00:00:00|USD|38.00|8.34|46.34
Pago|2035557284|CLIENT_00828|39666216|575621357|AMDOCS|S5AA-0081588182|2026-07-07 00:00:00|PEN|77.43|17.00|94.43
Pago|2082857714|CLIENT_00879|35089885|129609306|AMDOCS|S5AA-0081293168|2026-07-07 00:00:00|PEN|48.45|10.63|59.08
Pago|2083488968|CLIENT_00506|706451821|949891957|AMDOCS|S5AA-0080964239|2026-07-07 00:00:00|PEN|86.04|18.89|104.93
Pago|2034805527|CLIENT_00106|195771431|970426857|AMDOCS|S5AA-0081574340|2026-07-07 00:00:00|PEN|143.16|31.42|174.58
Pago|2075533541|CLIENT_00465|48285006|171593857|AMDOCS|S9AA-0081907773|2026-07-07 00:00:00|PEN|89.49|19.64|109.13
Pago|2028931903|CLIENT_00019|04635706|036467506|AMDOCS|S9AA-0082386415|2026-06-08 00:00:00|PEN|109.00|23.93|132.93
Pago|2053948793|CLIENT_00357|48525585|651365306|AMDOCS|S5AA-0080547581|2026-06-08 00:00:00|PEN|69.68|15.30|84.98
Pago|2009045197|CLIENT_00981|53769395|551404406|AMDOCS|S9AA-0081076727|2026-06-08 00:00:00|PEN|74.16|16.28|90.44
Pago|2005137984|CLIENT_00579|52112216|827423606|AMDOCS|S5AA-0080865021|2026-06-08 00:00:00|PEN|53.10|11.66|64.75
Pago|2094973310|CLIENT_00523|162487121|833476857|AMDOCS|S5AA-0080398635|2026-06-08 00:00:00|PEN|74.56|16.37|90.93
Pago|2073231877|CLIENT_00316|89282285|907190747|AMDOCS|S9AA-0081629576|2026-06-10 00:00:00|PEN|50.63|11.11|61.74
Pago|2092959571|CLIENT_00950|82037575|767789501|AMDOCS|S1AA-0052260621|2026-06-10 00:00:00|PEN|18.08|3.97|22.05
Pago|2047601641|CLIENT_00663|788183431|166539857|AMDOCS|S8AA-0007741003|2026-06-12 00:00:00|PEN|139.91|30.71|170.63
Pago|2068423196|CLIENT_00030|237869921|212960257|AMDOCS|S4AA-0007964005|2026-06-12 00:00:00|PEN|40.12|8.81|48.93
Pago|2095839381|CLIENT_00231|433723521|437853447|AMDOCS|S8AA-0007577549|2026-06-12 00:00:00|PEN|57.34|12.59|69.93
Pago|2045407090|CLIENT_00403|535621511|489253857|AMDOCS|S5AA-0080199875|2026-06-03 00:00:00|PEN|68.82|15.11|83.93
Pago|2084680790|CLIENT_00724|248370221|763934357|AMDOCS|S3AA-0077967133|2026-06-02 00:00:00|PEN|40.12|8.81|48.93
Pago|2061945853|CLIENT_00964|255218521|225916657|AMDOCS|S8AA-0007633832|2026-06-02 00:00:00|PEN|51.60|11.33|62.93
Pago|2066367927|CLIENT_00527|688513121|214988537|AMDOCS|S1AA-0051582119|2026-06-01 00:00:00|PEN|66.07|14.50|80.57
Pago|2024332742|CLIENT_00195|799221901|475125457|AMDOCS|S7AA-0067951050|2026-06-11 00:00:00|PEN|42.76|9.39|52.15
Pago|2062806803|CLIENT_00496|219732621|662884257|AMDOCS|S8AA-0007511183|2026-06-11 00:00:00|PEN|86.04|18.89|104.93
Pago|2085402983|CLIENT_00421|53591575|786920023|AMDOCS|S1AA-0051954677|2026-06-11 00:00:00|PEN|9.18|2.02|11.20
Pago|2091291597|CLIENT_00385|159200|74268100|ISIS|S300-250762|2026-06-11 00:00:00|PEN|833.11|182.88|1015.98
Pago|2077671119|CLIENT_00072|900003531|833523067|AMDOCS|S4AA-0007893445|2026-06-15 00:00:00|PEN|80.30|17.63|97.93
Pago|2095007193|CLIENT_00907|01754575|535241403|AMDOCS|S1AA-0051790994|2026-06-15 00:00:00|PEN|115.52|25.36|140.88
Pago|2082647868|CLIENT_00292|88402006|619903057|AMDOCS|S9AA-0081941143|2026-06-15 00:00:00|PEN|19.17|4.21|23.38
Pago|2093124458|CLIENT_00292|88402006|478720506|AMDOCS|S9AA-0081936814|2026-06-15 00:00:00|PEN|69.68|15.30|84.98
Pago|2056036658|CLIENT_00097|43899716|793398606|AMDOCS|S9AA-0082334916|2026-06-15 00:00:00|PEN|72.27|15.86|88.13
Pago|2039859392|CLIENT_00907|01754575|035241403|AMDOCS|S1AA-0051790993|2026-06-15 00:00:00|PEN|44.46|9.76|54.22
Pago|2039420775|CLIENT_00907|01754575|127596503|AMDOCS|S1AA-0051791032|2026-06-15 00:00:00|PEN|77.69|17.05|94.75
Pago|2035311473|CLIENT_00403|17481395|325623406|AMDOCS|S9AA-0077773070|2026-06-15 00:00:00|PEN|1.72|.38|2.10
Pago|2091089067|CLIENT_00465|333088111|164708037|AMDOCS|S7AA-0067369092|2026-06-06 00:00:00|PEN|137.65|30.21|167.86
Pago|2080420835|CLIENT_00720|093279031|431643457|AMDOCS|S5AA-0080611429|2026-06-06 00:00:00|PEN|49.08|10.77|59.85
Pago|2037565578|CLIENT_00430|138477221|459982937|AMDOCS|S7AA-0067351863|2026-06-06 00:00:00|PEN|83.69|18.37|102.06
Pago|2068878174|CLIENT_00009|528629521|044878157|AMDOCS|S4AA-0007942111|2026-06-18 00:00:00|PEN|86.04|18.89|104.93
Pago|2048171681|CLIENT_00795|47443006|541430506|AMDOCS|S9AA-0081815823|2026-06-18 00:00:00|PEN|270.93|59.47|330.40
Pago|2016792398|CLIENT_00998|39598195|941791406|AMDOCS|S5AA-0081583856|2026-06-23 00:00:00|PEN|62.51|13.72|76.23
Pago|2011722087|CLIENT_00088|27841006|947620506|AMDOCS|S5AA-0081431770|2026-06-23 00:00:00|PEN|7.29|1.60|8.89
Pago|2088602559|CLIENT_00088|08841006|147620506|AMDOCS|S5AA-0081489755|2026-06-23 00:00:00|PEN|26.92|5.91|32.83
Pago|2037181733|CLIENT_00226|040742521|511774557|AMDOCS|S3AA-0078920007|2026-06-23 00:00:00|PEN|22.90|5.03|27.93
Pago|2055946948|CLIENT_00226|040742521|970084557|AMDOCS|S3AA-0078920009|2026-06-23 00:00:00|PEN|22.90|5.03|27.93
Pago|2068323251|CLIENT_00523|162487121|820342757|AMDOCS|S5AA-0080398428|2026-06-08 00:00:00|PEN|97.52|21.41|118.93
Pago|2091280680|CLIENT_00335|97222706|791917506|AMDOCS|S5AA-0080526454|2026-06-08 00:00:00|PEN|16.01|3.52|19.53
Pago|2006459799|CLIENT_00837|22696485|647974306|AMDOCS|S9AA-0080962776|2026-06-08 00:00:00|PEN|60.84|13.36|74.20
Pago|2049726118|CLIENT_00693|53967106|952071506|AMDOCS|S5AA-0080195247|2026-06-08 00:00:00|PEN|48.16|10.57|58.73
Pago|2085837314|CLIENT_00693|27750575|492499483|AMDOCS|S1AA-0052221021|2026-06-09 00:00:00|PEN|18.37|4.03|22.40
Pago|2088901543|CLIENT_00185|624034821|708531067|AMDOCS|S8AA-0007555234|2026-06-09 00:00:00|PEN|86.04|18.89|104.93
Pago|2043931605|CLIENT_00834|86639085|370390306|AMDOCS|S5AA-0080444200|2026-06-09 00:00:00|PEN|54.47|11.96|66.43
Pago|2091789509|CLIENT_00886|92995216|483063606|AMDOCS|S9AA-0081025285|2026-06-09 00:00:00|PEN|14.92|3.28|18.20
Pago|2062194150|CLIENT_00886|02379285|301892306|AMDOCS|S9AA-0080945368|2026-06-09 00:00:00|PEN|38.26|8.40|46.66
Pago|2049666577|CLIENT_00077|88238406|285908857|AMDOCS|S9AA-0081942420|2026-06-16 00:00:00|PEN|51.60|11.33|62.93
Pago|2009798337|CLIENT_00077|64519885|230808857|AMDOCS|S5AA-0080288224|2026-06-16 00:00:00|PEN|51.60|11.33|62.93
Pago|2043223962|CLIENT_00063|09924006|041430506|AMDOCS|S9AA-0081547316|2026-06-15 00:00:00|PEN|57.40|12.60|70.00
Pago|2001115330|CLIENT_00908|935732531|860232067|AMDOCS|S9AA-0082392053|2026-06-15 00:00:00|PEN|99.76|21.90|121.66
Pago|2051800045|CLIENT_00346|282744421|826967057|AMDOCS|S9AA-0081889278|2026-06-05 00:00:00|PEN|15.61|3.43|19.04
Pago|2057084119|CLIENT_00346|282744421|197187057|AMDOCS|S9AA-0081889284|2026-06-05 00:00:00|PEN|15.61|3.43|19.04
Pago|2036175299|CLIENT_00907|41460516|337385957|AMDOCS|S9AA-0082167241|2026-06-05 00:00:00|PEN|74.56|16.37|90.93
Pago|2048390773|CLIENT_00150|455224321|452647047|AMDOCS|S4AA-0008032009|2026-06-18 00:00:00|PEN|131.91|28.95|160.86
