SEGMENTO_PAIS|TIPO_DOCUMENTO|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|SUNAT_ESTADO_RUC|SUNAT_ESTADO_CONTRIBUYENTE|SUNAT_DEPARTAMENTO|SUNAT_PROVINCIA|SUNAT_DISTRITO
SEGMENTO_004|RUC|2089508889|CLIENT_00786|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2082318567|CLIENT_00377|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2044512050|CLIENT_00980|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2061726816|CLIENT_00637|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Saña
SEGMENTO_004|RUC|2051947639|CLIENT_00103|HABIDO|BAJA DE OFICIO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2035557284|CLIENT_00828|HABIDO|ACTIVO|LIMA|Lima|Santa Anita
SEGMENTO_004|RUC|2040443627|CLIENT_00393|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2076142431|CLIENT_00318|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2042840517|CLIENT_00226|HABIDO|ACTIVO|AREQUIPA|Arequipa|Miraflores
SEGMENTO_004|RUC|2033874362|CLIENT_00792|HABIDO|ACTIVO|CUSCO|Cusco|Cusco
SEGMENTO_004|RUC|2033800985|CLIENT_00691|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2004403801|CLIENT_00180|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2018414664|CLIENT_00400|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres
SEGMENTO_004|RUC|2050504401|CLIENT_00673|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2021660305|CLIENT_00332|HABIDO|ACTIVO|LIMA|Lima|Magdalena del Mar
SEGMENTO_004|RUC|2032335674|CLIENT_00620|HABIDO|BAJA DE OFICIO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2052608690|CLIENT_00581|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores
SEGMENTO_004|RUC|2063121146|CLIENT_00778|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores
SEGMENTO_004|RUC|2090808430|CLIENT_00946|HABIDO|ACTIVO|LIMA|Lima|San Miguel
SEGMENTO_004|RUC|2046272291|CLIENT_00829|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2078802807|CLIENT_00099|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres
SEGMENTO_004|RUC|2027755534|CLIENT_00163|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2081744801|CLIENT_00542|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2012439383|CLIENT_00601|NO HABIDO|BAJA DE OFICIO|CALLAO|Prov. Const. del Callao|Callao
SEGMENTO_004|RUC|2016587155|CLIENT_00255|HABIDO|ACTIVO|CUSCO|Cusco|San Jerónimo
SEGMENTO_004|RUC|2034879712|CLIENT_00302|HABIDO|ACTIVO|APURIMAC|Abancay|Abancay
SEGMENTO_004|RUC|2082221937|CLIENT_00364|HABIDO|ACTIVO|AREQUIPA|Arequipa|Arequipa
SEGMENTO_002|RUC|2099609997|CLIENT_00740|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2061273939|CLIENT_00449|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Chiclayo
SEGMENTO_004|RUC|2069541043|CLIENT_00362|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2081733189|CLIENT_00101|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2018849431|CLIENT_00586|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2024619182|CLIENT_00963|HABIDO|ACTIVO|LIMA|Lima|Villa María del Triunfo
SEGMENTO_004|RUC|2004984092|CLIENT_00883|HABIDO|ACTIVO|LIMA|Lima|Barranco
SEGMENTO_004|RUC|2029816520|CLIENT_00874|HABIDO|ACTIVO|LIMA|Lima|Independencia
SEGMENTO_004|RUC|2045418905|CLIENT_00576|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2040860442|CLIENT_00783|HABIDO|ACTIVO|LIMA|Lima|Pueblo Libre
SEGMENTO_004|RUC|2047611797|CLIENT_00924|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2091452099|CLIENT_00990|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2098293784|CLIENT_00265|HABIDO|ACTIVO|SAN MARTIN|Tocache|Tocache
SEGMENTO_004|RUC|2047431289|CLIENT_00045|HABIDO|ACTIVO|CUSCO|Cusco|Santiago
SEGMENTO_004|RUC|2030739572|CLIENT_00552|HABIDO|ACTIVO|LIMA|Cañete|Mala
SEGMENTO_004|RUC|2046868113|CLIENT_00397|NO HABIDO|BAJA DE OFICIO|AMAZONAS|Bongará|Jazan
SEGMENTO_004|RUC|2043153301|CLIENT_00849|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores
SEGMENTO_004|RUC|2032243442|CLIENT_00656|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2048306935|CLIENT_00452|HABIDO|ACTIVO|PUNO|San Román|Juliaca
SEGMENTO_004|RUC|2009768742|CLIENT_00967|HABIDO|ACTIVO|SAN MARTIN|Moyobamba|Moyobamba
SEGMENTO_004|RUC|2042005584|CLIENT_00724|HABIDO|ACTIVO|AREQUIPA|Arequipa|Jacobo Hunter
SEGMENTO_004|RUC|2064266045|CLIENT_00606|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Chiclayo
SEGMENTO_004|RUC|2048828836|CLIENT_00869|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo
SEGMENTO_004|RUC|2097314646|CLIENT_00429|HABIDO|ACTIVO|ICA|Ica|Ica
SEGMENTO_004|RUC|2041230831|CLIENT_00071|HABIDO|BAJA DE OFICIO|LIMA|Lima|Jesús María
SEGMENTO_004|RUC|2014579954|CLIENT_00512|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2070148979|CLIENT_00202|HABIDO|ACTIVO|LIMA|Lima|La Molina
SEGMENTO_004|RUC|2053125283|CLIENT_00112|HABIDO|ACTIVO|CUSCO|Cusco|Cusco
SEGMENTO_004|RUC|2064993907|CLIENT_00925|HABIDO|ACTIVO|ICA|Ica|Ica
SEGMENTO_004|RUC|2023119208|CLIENT_00003|HABIDO|ACTIVO|LIMA|Lima|Ate
SEGMENTO_004|RUC|2039714658|CLIENT_00290|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2017592496|CLIENT_00970|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2056936489|CLIENT_00469|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2001919358|CLIENT_00658|HABIDO|ACTIVO|LIMA|Lima|Lince
SEGMENTO_004|RUC|2097061252|CLIENT_00368|HABIDO|ACTIVO|LIMA|Lima|Barranco
SEGMENTO_004|RUC|2005539193|CLIENT_00228|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres
SEGMENTO_004|RUC|2061611588|CLIENT_00499|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo
SEGMENTO_004|RUC|2091736052|CLIENT_00652|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2040276207|CLIENT_00386|NO HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Callao
SEGMENTO_004|RUC|2035220905|CLIENT_00655|HABIDO|ACTIVO|LIMA|Lima|La Molina
SEGMENTO_004|RUC|2068926847|CLIENT_00666|HABIDO|ACTIVO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2094577730|CLIENT_00415|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2017938134|CLIENT_00866|HABIDO|ACTIVO|AREQUIPA|Camaná|Samuel Pastor
SEGMENTO_004|RUC|2043037576|CLIENT_00102|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2061195913|CLIENT_00760|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2022681851|CLIENT_00304|HABIDO|BAJA DE OFICIO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2096030030|CLIENT_00475|HABIDO|ACTIVO|SAN MARTIN|San Martín|Tarapoto
SEGMENTO_004|RUC|2025967685|CLIENT_00216|HABIDO|ACTIVO|CAJAMARCA|Cajamarca|Cajamarca
SEGMENTO_004|RUC|2060826481|CLIENT_00672|HABIDO|ACTIVO|APURIMAC|Andahuaylas|Andahuaylas
SEGMENTO_002|RUC|2079585159|CLIENT_00559|HABIDO|ACTIVO|LIMA|Cañete|Asia
SEGMENTO_004|RUC|2042736285|CLIENT_00790|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo
SEGMENTO_004|RUC|2022190206|CLIENT_00446|NO HABIDO|BAJA DE OFICIO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2057750040|CLIENT_00558|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2083236096|CLIENT_00044|HABIDO|ACTIVO|LIMA|Lima|Chorrillos
SEGMENTO_004|RUC|2070262664|CLIENT_00155|HABIDO|ACTIVO|CUSCO|Cusco|Cusco
SEGMENTO_004|RUC|2091840603|CLIENT_00602|HABIDO|ACTIVO|HUANUCO|Huánuco|Huanuco
SEGMENTO_004|RUC|2011020714|CLIENT_00404|HABIDO|ACTIVO|LIMA|Lima|Los Olivos
SEGMENTO_004|RUC|2036119586|CLIENT_00605|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2054553077|CLIENT_00093|HABIDO|ACTIVO|JUNIN|Junín|Junin
SEGMENTO_004|RUC|2047909598|CLIENT_00269|HABIDO|ACTIVO|LORETO|Alto Amazonas|Yurimaguas
SEGMENTO_004|RUC|2038848428|CLIENT_00847|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores
SEGMENTO_004|RUC|2054283108|CLIENT_00682|HABIDO|ACTIVO|LIMA|Lima|Ate
SEGMENTO_004|RUC|2064043539|CLIENT_00599|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2050348529|CLIENT_00770|HABIDO|ACTIVO|LIMA|Lima|Lince
SEGMENTO_004|RUC|2070054625|CLIENT_00725|HABIDO|ACTIVO|MOQUEGUA|Ilo|Ilo
SEGMENTO_002|RUC|2087841208|CLIENT_00474|HABIDO|ACTIVO|PIURA|Piura|Piura
SEGMENTO_004|RUC|2034994857|CLIENT_00519|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2051341964|CLIENT_00219|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2029838667|CLIENT_00775|HABIDO|ACTIVO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2085300720|CLIENT_00565|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2097998127|CLIENT_00891|HABIDO|ACTIVO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2036252758|CLIENT_00485|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2038298370|CLIENT_00249|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores
SEGMENTO_004|RUC|2066464531|CLIENT_00087|NO HABIDO|SUSPENSION TEMPORAL|LIMA|Lima|San Martín de Porres
SEGMENTO_004|RUC|2053585542|CLIENT_00846|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2003740540|CLIENT_00568|HABIDO|BAJA DE OFICIO|LIMA|Lima|Santiago de Surco
SEGMENTO_002|RUC|2027994752|CLIENT_00081|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2067346691|CLIENT_00086|HABIDO|ACTIVO|LIMA|Lima|Barranco
SEGMENTO_004|RUC|2088859624|CLIENT_00594|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2025650857|CLIENT_00466|HABIDO|ACTIVO|PIURA|Piura|Piura
SEGMENTO_004|RUC|2031395900|CLIENT_00781|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2011067330|CLIENT_00113|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|José Leonardo Ortiz
SEGMENTO_004|RUC|2008330743|CLIENT_00241|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|El Porvenir
SEGMENTO_004|RUC|2080284452|CLIENT_00739|HABIDO|BAJA DE OFICIO|LIMA|Barranca|Barranca
SEGMENTO_004|RUC|2014968629|CLIENT_00674|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2039317482|CLIENT_00517|HABIDO|ACTIVO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2046930363|CLIENT_00514|HABIDO|BAJA DE OFICIO|PUNO|San Román|Juliaca
SEGMENTO_004|RUC|2075957069|CLIENT_00305|HABIDO|ACTIVO|AREQUIPA|Arequipa|Sachaca
SEGMENTO_004|RUC|2025402020|CLIENT_00130|HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Ventanilla
SEGMENTO_004|RUC|2086906355|CLIENT_00933|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_002|RUC|2024654901|CLIENT_00714|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2077669628|CLIENT_00032|HABIDO|ACTIVO|LIMA|Lima|Ate
SEGMENTO_004|RUC|2069501836|CLIENT_00263|HABIDO|BAJA DE OFICIO|LIMA|Lima|San Martín de Porres
SEGMENTO_004|RUC|2067472025|CLIENT_00049|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2003660112|CLIENT_00090|HABIDO|ACTIVO|LIMA|Lima|Lince
SEGMENTO_004|RUC|2001304335|CLIENT_00428|HABIDO|ACTIVO|LIMA|Lima|San Miguel
SEGMENTO_004|RUC|2064277467|CLIENT_00871|HABIDO|ACTIVO|AREQUIPA|Arequipa|Arequipa
SEGMENTO_004|RUC|2024425530|CLIENT_00124|HABIDO|ACTIVO|LIMA|Lima|Villa El Salvador
SEGMENTO_002|RUC|2045641140|CLIENT_00319|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2048226249|CLIENT_00600|HABIDO|ACTIVO|LIMA|Lima|Chorrillos
SEGMENTO_004|RUC|2021563134|CLIENT_00471|HABIDO|ACTIVO|PUNO|San Román|Juliaca
SEGMENTO_004|RUC|2059725559|CLIENT_00880|HABIDO|BAJA DEFINITIVA|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2071586209|CLIENT_00004|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2020228816|CLIENT_00854|HABIDO|ACTIVO|LIMA|Barranca|Barranca
SEGMENTO_004|RUC|2016725272|CLIENT_00478|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_002|RUC|2072690831|CLIENT_00802|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2049766978|CLIENT_00394|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2096608121|CLIENT_00272|HABIDO|BAJA DE OFICIO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2037039972|CLIENT_00968|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2010231031|CLIENT_00392|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2098965055|CLIENT_00623|HABIDO|SUSPENSION TEMPORAL|CALLAO|Prov. Const. del Callao|Bellavista
SEGMENTO_004|RUC|2058571451|CLIENT_00813|HABIDO|ACTIVO|TACNA|Tacna|Tacna
SEGMENTO_002|RUC|2020274387|CLIENT_00535|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2074987251|CLIENT_00276|HABIDO|ACTIVO|LIMA|Lima|Pueblo Libre
SEGMENTO_004|RUC|2032219870|CLIENT_00462|HABIDO|ACTIVO|LIMA|Lima|Comas
SEGMENTO_004|RUC|2081561372|CLIENT_00949|HABIDO|ACTIVO|LIMA|Lima|Chorrillos
SEGMENTO_004|RUC|2092594405|CLIENT_00877|HABIDO|ACTIVO|LIMA|Lima|Barranco
SEGMENTO_004|RUC|2026562260|CLIENT_00100|HABIDO|ACTIVO|PUNO|San Román|Juliaca
SEGMENTO_004|RUC|2062666590|CLIENT_00169|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres
SEGMENTO_004|RUC|2074271284|CLIENT_00038|HABIDO|ACTIVO|UCAYALI|Coronel Portillo|Calleria
SEGMENTO_004|RUC|2084074807|CLIENT_00310|HABIDO|BAJA DE OFICIO|JUNIN|Huancayo|Chilca
SEGMENTO_004|RUC|2076439409|CLIENT_00154|HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Callao
SEGMENTO_004|RUC|2048046441|CLIENT_00064|HABIDO|ACTIVO|PIURA|Piura|Piura
SEGMENTO_004|RUC|2085352948|CLIENT_00630|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|José Leonardo Ortiz
SEGMENTO_004|RUC|2013237934|CLIENT_00303|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2087214722|CLIENT_00048|HABIDO|ACTIVO|LIMA|Lima|El Agustino
SEGMENTO_002|RUC|2012170806|CLIENT_00350|HABIDO|ACTIVO|JUNIN|Huancayo|El Tambo
SEGMENTO_004|RUC|2049811464|CLIENT_00358|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo
SEGMENTO_004|RUC|2026884680|CLIENT_00626|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Victor Larco Herrera
SEGMENTO_004|RUC|2042893140|CLIENT_00665|HABIDO|ACTIVO|LORETO|Alto Amazonas|Yurimaguas
SEGMENTO_004|RUC|2073093583|CLIENT_00184|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2065581182|CLIENT_00019|HABIDO|ACTIVO|LIMA|Lima|Carabayllo
SEGMENTO_004|RUC|2012453412|CLIENT_00293|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2084595191|CLIENT_00613|HABIDO|ACTIVO|LIMA|Lima|Carabayllo
SEGMENTO_004|RUC|2000252800|CLIENT_00467|HABIDO|ACTIVO|CUSCO|Cusco|San Sebastian
SEGMENTO_004|RUC|2054022480|CLIENT_00547|HABIDO|ACTIVO|LIMA|Lima|Lince
SEGMENTO_004|RUC|2079684847|CLIENT_00889|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Victor Larco Herrera
SEGMENTO_002|RUC|2047081406|CLIENT_00312|HABIDO|ACTIVO|ICA|Ica|Ica
SEGMENTO_004|RUC|2093660214|CLIENT_00375|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2056897122|CLIENT_00573|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2051775031|CLIENT_00190|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2060519712|CLIENT_00827|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2094037394|CLIENT_00744|HABIDO|ACTIVO|ICA|Pisco|San Andrés
SEGMENTO_004|RUC|2090613378|CLIENT_00096|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2019530122|CLIENT_00047|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2080338247|CLIENT_00934|HABIDO|ACTIVO|LIMA|Lima|Lurigancho
SEGMENTO_004|RUC|2007494049|CLIENT_00339|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_002|RUC|2068242198|CLIENT_00515|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2022935188|CLIENT_00157|HABIDO|ACTIVO|UCAYALI|Coronel Portillo|Calleria
SEGMENTO_004|RUC|2037638826|CLIENT_00969|HABIDO|ACTIVO|AREQUIPA|Arequipa|Sachaca
SEGMENTO_004|RUC|2088510466|CLIENT_00021|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2034936943|CLIENT_00342|HABIDO|ACTIVO|AREQUIPA|Arequipa|Miraflores
SEGMENTO_002|RUC|2028234821|CLIENT_00026|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2078998333|CLIENT_00893|HABIDO|SUSPENSION TEMPORAL|CAJAMARCA|Cajamarca|Cajamarca
SEGMENTO_004|RUC|2073105592|CLIENT_00280|HABIDO|ACTIVO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2064658684|CLIENT_00353|HABIDO|ACTIVO|LIMA|Lima|Lurigancho
SEGMENTO_004|RUC|2071671933|CLIENT_00690|HABIDO|ACTIVO|CALLAO|Prov. Const. del Callao|Ventanilla
SEGMENTO_004|RUC|2079431606|CLIENT_00125|HABIDO|ACTIVO|LIMA|Lima|Surquillo
SEGMENTO_004|RUC|2091696217|CLIENT_00523|HABIDO|ACTIVO|LIMA|Lima|Lince
SEGMENTO_004|RUC|2002846047|CLIENT_00694|HABIDO|ACTIVO|LIMA|Lima|Chorrillos
SEGMENTO_004|RUC|2066842380|CLIENT_00337|HABIDO|ACTIVO|TACNA|Tacna|Alto de la Alianza
SEGMENTO_004|RUC|2047345079|CLIENT_00455|HABIDO|ACTIVO|LIMA|Lima|San Juan de Lurigancho
SEGMENTO_004|RUC|2069534308|CLIENT_00423|HABIDO|ACTIVO|LIMA|Lima|Rímac
SEGMENTO_004|RUC|2054958528|CLIENT_00390|HABIDO|ACTIVO|AREQUIPA|Arequipa|Yanahuara
SEGMENTO_001|RUC|2026242865|CLIENT_00930|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2005150947|CLIENT_00073|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2053317276|CLIENT_00589|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|La Esperanza
SEGMENTO_004|RUC|2006307509|CLIENT_00644|HABIDO|ACTIVO|LIMA|Lima|La Victoria
SEGMENTO_004|RUC|2063339709|CLIENT_00486|HABIDO|ACTIVO|PIURA|Talara|Pariñas
SEGMENTO_004|RUC|2024539936|CLIENT_00335|NO HABIDO|BAJA DE OFICIO|CALLAO|Prov. Const. del Callao|Callao
